prod_name,max,month
신한 알.쏠 적금,4.30%,12
신한 S드림(DREAM)적금,3.10%,12
"신한 안녕, 반가워 적금",5.00%,12
신한 스마트 적금,3.60%,12
신한 가맹점 Swing 적금,4.30%,12
신한 사업자 성공기원적금(자유적립식),3.50%,12
신한 사업자 성공기원적금(정기적립식),3.50%,12
한 달부터 적금 (매일),4.50%,12
신한 연금 저축왕 적금,5.50%,36
한 달부터 적금 (매주),4.50%,12
신한 청년저축왕 적금,5.85%,36
2023 신한 SSG랜더스 적금(자유적립식),4.60%,12
2023 신한 키움히어로즈 적금(자유적립식),4.60%,12
2023 신한 LG트윈스 적금(자유적립식),4.60%,12
2023 신한 KT위즈 적금(자유적립식),4.60%,12
2023 신한 KIA타이거즈 적금(자유적립식),4.60%,12
2023 신한 NC다이노스 적금(자유적립식),4.60%,12
표지어음,2.90%,12
쏠편한 입출금통장,0.10%,6
Hey Young 머니박스,2.20%,12
신한 주거래 미래설계통장,0.10%,6
한달愛(애)저금통,3.00%,12
신한 S-MORE 포인트통장,1.00%,12
신한 쏠비즈 기업통장,0.10%,12
신한 My 주니어 통장,0.10%,12
마이홈플랜 주택청약 종합저축,2.10%,24
청년 우대형 주택청약종합저축(근로소득자용),3.60%,24
"청년 우대형 주택청약종합저축(사업,기타소득자용)",3.60%,24
