card_name,cate,card_type
신한카드 핏(Fit),생활,신용카드
신한카드 봄,생활,신용카드
신한카드 플리,생활,신용카드
신한카드 플리(산리오캐릭터즈),생활,신용카드
신한카드 래플(Raffle),생활,신용카드
신한카드 Deep Dream(모베러웍스),생활,신용카드
신한카드 구독 좋아요,생활,신용카드
신한카드 Puzzle,생활,신용카드
#Pay 신한카드,생활,신용카드
신한카드 YaY,생활,신용카드
신한카드 My TeenS,생활,신용카드
신한카드 알뜰More(알뜰모아),생활,신용카드
신한카드 혼디모앙,생활,신용카드
신한카드 D-day,생활,신용카드
땡겨요 신한카드,생활,신용카드
신한카드 Deep Dream,생활,신용카드
신한카드 Deep Dream Platinum+,생활,신용카드
신한카드 Deep Making,생활,신용카드
신한카드 Deep Taking,생활,신용카드
신한카드 Deep Once,생활,신용카드
신한카드 Deep Once Plus,생활,신용카드
신한카드 Mr.Life,생활,신용카드
신한카드 Hi-Point,생활,신용카드
신한카드 Simple+,생활,신용카드
신한카드 Simple Platinum#,생활,신용카드
신한카드 Cube Platinum #,생활,신용카드
신한카드 Love Platinum#,생활,신용카드
신한카드 집,생활,신용카드
신한카드 Unboxing,쇼핑,신용카드
신한카드 Deep Store,쇼핑,신용카드
신한카드 Deep On Platinum+,쇼핑,신용카드
신한카드 Always FAN,쇼핑,신용카드
신한카드 Shopping,쇼핑,신용카드
BC 부자되세요 홈쇼핑 신한카드,쇼핑,신용카드
신한카드 Eats More(곰표),외식/카페,신용카드
신한카드 Eats More(이츠모아),외식/카페,신용카드
신한카드 YOLO ⓘ,외식/카페,신용카드
신한카드 YOLO Tasty,외식/카페,신용카드
신한카드 EVerywhere,주유/교통,신용카드
신한카드 Deep Oil,주유/교통,신용카드
신한카드 RPM+ Platinum#,주유/교통,신용카드
수소차 충전할인 신한카드,주유/교통,신용카드
티머니 Pay & GO 신한카드,주유/교통,신용카드
신한카드 B.Big(삑),주유/교통,신용카드
신한카드 MY CAR,주유/교통,신용카드
GS칼텍스 신한카드 Shine,주유/교통,신용카드
신한카드 후불하이패스+ (하이패스 전용),주유/교통,신용카드
신한카드 후불하이패스+(SIM형),주유/교통,신용카드
(배민커넥트) 신한카드 Deep Oil 카드,주유/교통,신용카드
신한카드 Edu,문화/교육,신용카드
신한카드 Lesson Platinum#,문화/교육,신용카드
아시아나 신한카드 Air 1.5,여행/항공,신용카드
신한카드 Air One,여행/항공,신용카드
신한카드 Air Platinum#,여행/항공,신용카드
신한카드 주거래 신용,통신/금융,신용카드
