,연령,소득구간,월소득(만원),소비비율,저축/투자비율,부채상환비율,소비액,저축/투자액,부채상환액,적금/청약비율,연금저축(투자상품)비율,적금/청약액,연금저축(투자상품)액,외식/카페 비율,주유/교통 비율,통신비 비율,항공/여행 비율,문화/교육 비율,쇼핑 비율,주택청약가입,연금저축가입
4,24,1,88,0.624,0.221,0.06,55,19,5,0.162,0.064,14,6,0.22799999999999998,0.051,0.113,0.088,0.065,0.026999999999999996,1,1
12,25,1,100,0.562,0.215,0.066,56,22,7,0.153,0.064,15,6,0.146,0.101,0.057,0.05499999999999999,0.155,0.044,1,1
13,25,1,89,0.578,0.216,0.064,51,19,6,0.146,0.061,13,5,0.178,0.10700000000000001,0.057,0.14500000000000002,0.05499999999999999,0.03599999999999999,1,1
49,22,1,88,0.585,0.213,0.061,51,19,5,0.139,0.055,12,5,0.162,0.006999999999999999,0.10700000000000001,0.03799999999999999,0.155,0.077,1,1
51,28,1,99,0.584,0.257,0.061,58,25,6,0.178,0.072,18,7,0.162,0.012999999999999998,0.057,0.045,0.155,0.136,0,1
55,27,1,102,0.624,0.226,0.06,64,23,6,0.156,0.059,16,6,0.112,0.10700000000000001,0.10700000000000001,0.095,0.05499999999999999,0.086,0,1
57,29,1,88,0.528,0.235,0.06,46,21,5,0.174,0.071,15,6,0.112,0.057,0.057,0.045,0.165,0.136,0,0
61,27,1,90,0.629,0.223,0.066,57,20,6,0.155,0.058,14,5,0.162,0.051,0.101,0.138,0.05499999999999999,0.026999999999999996,1,1
62,26,1,100,0.622,0.237,0.064,62,24,6,0.161,0.065,16,6,0.146,0.057,0.006999999999999999,0.155,0.155,0.044,1,1
67,29,1,100,0.536,0.218,0.069,54,22,7,0.171,0.059,17,6,0.162,0.006999999999999999,0.10700000000000001,0.045,0.105,0.136,1,1
74,22,1,98,0.537,0.228,0.061,53,22,6,0.149,0.061,15,6,0.21200000000000002,0.057,0.000999999999999994,0.14500000000000002,0.105,0.03599999999999999,0,1
82,25,1,91,0.577,0.256,0.07,53,23,6,0.169,0.076,15,7,0.162,0.10700000000000001,0.051,0.045,0.14400000000000002,0.03599999999999999,1,1
85,23,1,91,0.592,0.254,0.067,54,23,6,0.189,0.064,17,6,0.21200000000000002,0.051,0.101,0.03799999999999999,0.05499999999999999,0.077,1,1
92,29,1,99,0.62,0.241,0.067,61,24,7,0.165,0.07,16,7,0.21200000000000002,0.012999999999999998,0.10700000000000001,0.095,0.105,0.03599999999999999,0,1
93,21,1,95,0.62,0.252,0.062,59,24,6,0.193,0.071,18,7,0.112,0.051,0.101,0.045,0.094,0.136,0,1
99,27,1,87,0.552,0.24,0.059,48,21,5,0.186,0.071,16,6,0.21200000000000002,0.10700000000000001,0.057,0.095,0.05499999999999999,0.03599999999999999,0,0
116,27,1,100,0.57,0.24,0.064,57,24,6,0.175,0.067,18,7,0.09599999999999999,0.101,0.063,0.03799999999999999,0.14400000000000002,0.077,0,0
136,20,1,94,0.632,0.215,0.062,59,20,6,0.166,0.065,16,6,0.178,0.000999999999999994,0.063,0.14500000000000002,0.05499999999999999,0.136,1,1
138,21,1,91,0.6,0.232,0.061,55,21,6,0.177,0.067,16,6,0.162,0.10700000000000001,0.006999999999999999,0.155,0.05499999999999999,0.094,1,1
149,24,1,90,0.615,0.228,0.059,55,21,5,0.168,0.059,15,5,0.21200000000000002,0.057,0.006999999999999999,0.105,0.155,0.044,0,1
162,27,1,97,0.532,0.224,0.07,52,22,7,0.176,0.066,17,6,0.196,0.000999999999999994,0.101,0.095,0.044,0.086,1,1
163,20,1,95,0.631,0.232,0.066,60,22,6,0.169,0.066,16,6,0.21200000000000002,0.057,0.057,0.155,0.065,0.044,0,0
165,20,1,100,0.568,0.238,0.059,57,24,6,0.166,0.07,17,7,0.22799999999999998,0.000999999999999994,0.051,0.105,0.05499999999999999,0.14400000000000002,0,1
168,28,1,85,0.607,0.218,0.069,52,19,6,0.168,0.063,14,5,0.196,0.057,0.012999999999999998,0.045,0.155,0.086,1,0
169,22,1,96,0.623,0.255,0.067,60,24,6,0.183,0.066,18,6,0.22799999999999998,0.113,0.057,0.05499999999999999,0.05499999999999999,0.094,1,1
174,20,1,97,0.64,0.25,0.068,62,24,7,0.176,0.072,17,7,0.21200000000000002,0.006999999999999999,0.000999999999999994,0.095,0.094,0.136,1,1
178,24,1,102,0.616,0.255,0.068,63,26,7,0.166,0.073,17,7,0.21200000000000002,0.057,0.113,0.095,0.05499999999999999,0.03599999999999999,0,1
197,23,1,101,0.601,0.219,0.062,61,22,6,0.153,0.067,15,7,0.128,0.051,0.113,0.05499999999999999,0.155,0.094,1,1
207,20,1,97,0.551,0.228,0.064,53,22,6,0.169,0.063,16,6,0.21200000000000002,0.063,0.012999999999999998,0.03799999999999999,0.14400000000000002,0.077,1,1
210,23,1,95,0.61,0.252,0.064,58,24,6,0.192,0.075,18,7,0.21200000000000002,0.057,0.000999999999999994,0.05499999999999999,0.094,0.14400000000000002,0,1
